  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
   2248.26343 |       0.05025 |       0.05025 |       0.00000 |      12.34396 |      12.34396 |       3.24177 |      99.23177 |      99.17576 |     104.28963 |     104.28131 |     114.19388 |     120.01437 |     120.01437 |       0.00392 |      -0.00392 |      -0.00392 |       0.00150 |      -0.01150 |       0.00121 |      -0.97689 |      -0.03437 |     116.13967 |     116.96737 |      -1.70077 |      -0.14678 |     116.28555 |       0.72386 |       0.34543 |   -2651.59082 |     989.97681 |  -23932.13672 |      48.08697 |       0.78711 |      23.77977 |   18128.63086 |       2.98359 | 
   2248.40405 |       0.10050 |       0.10050 |       0.00000 |      12.34397 |      12.34397 |       3.24179 |      99.03002 |      99.15913 |     104.27231 |     104.26397 |     113.96172 |     119.99444 |     119.99445 |       0.00392 |      -0.00392 |      -0.00392 |       0.00229 |      -0.01154 |       0.00075 |      -0.97072 |      -0.06756 |     116.14217 |     116.96985 |      -1.69565 |      -0.14874 |     116.28902 |       0.72500 |       0.34726 |   -2649.17480 |     990.01636 |  -23930.94141 |      48.07755 |       0.78803 |      23.77869 |   18137.47461 |       2.98504 | 
   2248.53271 |       0.15075 |       0.15075 |       0.00000 |      12.34398 |      12.34398 |       3.24180 |      98.86696 |      99.14267 |     104.25518 |     104.24680 |     113.77407 |     119.97472 |     119.97473 |       0.00392 |      -0.00392 |      -0.00392 |       0.00266 |      -0.01171 |       0.00034 |      -0.96325 |      -0.10116 |     116.14346 |     116.97112 |      -1.69012 |      -0.15153 |     116.29208 |       0.72703 |       0.34879 |   -2646.75903 |     990.05603 |  -23929.74609 |      48.06837 |       0.78979 |      23.77732 |   18146.31836 |       2.98650 | 
   2248.67432 |       0.20101 |       0.20101 |       0.00000 |      12.34400 |      12.34400 |       3.24181 |      98.73677 |      99.12636 |     104.23820 |     104.22974 |     113.62425 |     119.95518 |     119.95518 |       0.00392 |      -0.00392 |      -0.00392 |       0.00289 |      -0.01194 |      -0.00002 |      -0.95505 |      -0.13537 |     116.14366 |     116.97131 |      -1.68458 |      -0.15498 |     116.29475 |       0.72979 |       0.35004 |   -2644.34399 |     990.09583 |  -23928.55273 |      48.05941 |       0.79223 |      23.77564 |   18155.15820 |       2.98795 | 
   2248.80005 |       0.25126 |       0.25126 |       0.00000 |      12.34401 |      12.34401 |       3.24183 |      98.63442 |      99.11015 |     104.22132 |     104.21279 |     113.50647 |     119.93576 |     119.93577 |       0.00392 |      -0.00392 |      -0.00552 |       0.00304 |      -0.01218 |      -0.00038 |      -0.94637 |      -0.17025 |     116.14284 |     116.97047 |      -1.67923 |      -0.15913 |     116.29708 |       0.73322 |       0.35108 |   -2641.92920 |     990.13574 |  -23927.35742 |      48.05064 |       0.79529 |      23.77369 |   18163.99609 |       2.98941 | 
   2248.93457 |       0.30151 |       0.30151 |       0.00000 |      12.34403 |      12.34403 |       3.24184 |      98.55557 |      99.09399 |     104.20452 |     104.19588 |     113.41573 |     119.91642 |     119.91641 |       0.00392 |      -0.00392 |      -0.00069 |       0.00312 |      -0.01252 |      -0.00052 |      -0.93741 |      -0.20604 |     116.14143 |     116.96906 |      -1.67420 |      -0.16328 |     116.29881 |       0.73727 |       0.35169 |   -2639.51489 |     990.17584 |  -23926.16211 |      48.04214 |       0.79893 |      23.77124 |   18172.83398 |       2.99086 | 
   2249.04712 |       0.35176 |       0.35176 |       0.00000 |      12.34404 |      12.34404 |       3.24186 |      98.49643 |      99.07788 |     104.18775 |     104.17903 |     113.34767 |     119.89713 |     119.89714 |       0.00392 |      -0.00392 |      -0.00552 |       0.00315 |      -0.01275 |      -0.00078 |      -0.92834 |      -0.24253 |     116.13936 |     116.96697 |      -1.66963 |      -0.16791 |     116.30030 |       0.74189 |       0.35203 |   -2637.10107 |     990.21613 |  -23924.96875 |      48.03375 |       0.80311 |      23.76861 |   18181.66992 |       2.99232 | 
   2249.30835 |       0.40201 |       0.40201 |       0.00000 |      12.34406 |      12.34406 |       3.24187 |      98.45374 |      99.06181 |     104.17102 |     104.16218 |     113.29855 |     119.87788 |     119.87788 |       0.00392 |      -0.00392 |      -0.00069 |       0.00313 |      -0.01307 |      -0.00084 |      -0.91930 |      -0.27990 |     116.13696 |     116.96456 |      -1.66557 |      -0.17227 |     116.30118 |       0.74699 |       0.35212 |   -2634.68774 |     990.25665 |  -23923.77344 |      48.02563 |       0.80773 |      23.76546 |   18190.50391 |       2.99377 | 
   2249.42383 |       0.45226 |       0.45226 |       0.00000 |      12.34407 |      12.34407 |       3.24188 |      98.42470 |      99.04574 |     104.15431 |     104.14534 |     113.26512 |     119.85864 |     119.85865 |       0.00392 |      -0.00392 |      -0.00069 |       0.00307 |      -0.01333 |      -0.00085 |      -0.91041 |      -0.31805 |     116.13449 |     116.96207 |      -1.66207 |      -0.17625 |     116.30164 |       0.75251 |       0.35174 |   -2632.27466 |     990.29742 |  -23922.58008 |      48.01768 |       0.81274 |      23.76196 |   18199.33789 |       2.99523 | 
   2249.54614 |       0.50251 |       0.50251 |       0.00000 |      12.34408 |      12.34408 |       3.24190 |      98.40689 |      99.02966 |     104.13759 |     104.12846 |     113.24463 |     119.83940 |     119.83940 |       0.00392 |      -0.00392 |      -0.00069 |       0.00297 |      -0.01356 |      -0.00083 |      -0.90176 |      -0.35690 |     116.13206 |     116.95963 |      -1.65913 |      -0.17984 |     116.30167 |       0.75835 |       0.35117 |   -2629.86206 |     990.33850 |  -23921.38672 |      48.00990 |       0.81805 |      23.75810 |   18208.16992 |       2.99668 | 
