  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
   3460.73999 |       0.05025 |       0.05025 |       0.00000 |      12.34396 |      12.34396 |       3.28323 |      99.90782 |      99.17749 |     104.29144 |     104.28311 |     114.97187 |     120.01644 |     120.01644 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00071 |      -0.01247 |       0.00223 |      -0.98036 |      -0.03605 |     116.14192 |     116.96962 |      -1.70391 |      -0.14316 |     116.28411 |       0.72355 |       0.34357 |   -2651.59082 |     989.97675 |  -23932.13672 |      48.08840 |       0.78682 |      23.77897 |   45215.25781 |       7.44147 | 
   3460.86157 |       0.10050 |       0.10050 |       0.00000 |      12.34397 |      12.34397 |       3.28324 |     100.24966 |      99.16253 |     104.27589 |     104.26758 |     115.36526 |     119.99856 |     119.99855 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00134 |      -0.01307 |       0.00266 |      -0.98395 |      -0.07350 |     116.14928 |     116.97697 |      -1.70698 |      -0.13900 |     116.28620 |       0.72311 |       0.34151 |   -2649.17456 |     990.01630 |  -23930.94141 |      48.08038 |       0.78628 |      23.77717 |   45224.10156 |       7.44293 | 
   3460.98511 |       0.15075 |       0.15075 |       0.00000 |      12.34398 |      12.34398 |       3.28326 |     100.51720 |      99.14758 |     104.26033 |     104.25207 |     115.67313 |     119.98065 |     119.98065 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00128 |      -0.01314 |       0.00304 |      -0.98771 |      -0.11149 |     116.15782 |     116.98549 |      -1.70916 |      -0.13346 |     116.28808 |       0.72161 |       0.33987 |   -2646.75879 |     990.05573 |  -23929.74609 |      48.07246 |       0.78474 |      23.77518 |   45232.94141 |       7.44438 | 
   3461.11450 |       0.20101 |       0.20101 |       0.00000 |      12.34400 |      12.34400 |       3.28327 |     100.72157 |      99.13263 |     104.24478 |     104.23656 |     115.90831 |     119.96276 |     119.96277 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00107 |      -0.01299 |       0.00338 |      -0.99090 |      -0.14918 |     116.16734 |     116.99500 |      -1.71030 |      -0.12669 |     116.28970 |       0.71962 |       0.33856 |   -2644.34326 |     990.09509 |  -23928.55273 |      48.06466 |       0.78274 |      23.77299 |   45241.78516 |       7.44584 | 
   3461.23926 |       0.25126 |       0.25126 |       0.00000 |      12.34401 |      12.34401 |       3.28329 |     100.87243 |      99.11771 |     104.22927 |     104.22108 |     116.08192 |     119.94491 |     119.94489 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00083 |      -0.01273 |       0.00367 |      -0.99341 |      -0.18622 |     116.17776 |     117.00539 |      -1.71051 |      -0.11877 |     116.29108 |       0.71738 |       0.33758 |   -2641.92847 |     990.13434 |  -23927.35742 |      48.05696 |       0.78051 |      23.77060 |   45250.62500 |       7.44730 | 
   3461.37891 |       0.30151 |       0.30151 |       0.00000 |      12.34403 |      12.34403 |       3.28330 |     100.97817 |      99.10280 |     104.21377 |     104.20564 |     116.20361 |     119.92706 |     119.92706 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00062 |      -0.01242 |       0.00391 |      -0.99527 |      -0.22239 |     116.18889 |     117.01652 |      -1.71002 |      -0.10988 |     116.29223 |       0.71506 |       0.33691 |   -2639.51367 |     990.17346 |  -23926.16406 |      48.04937 |       0.77821 |      23.76803 |   45259.46094 |       7.44875 | 
   3461.50293 |       0.35176 |       0.35176 |       0.00000 |      12.34404 |      12.34404 |       3.28331 |     101.04604 |      99.08793 |     104.19830 |     104.19024 |     116.28172 |     119.90926 |     119.90926 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00043 |      -0.01206 |       0.00410 |      -0.99657 |      -0.25759 |     116.20061 |     117.02822 |      -1.70900 |      -0.10013 |     116.29317 |       0.71276 |       0.33656 |   -2637.09937 |     990.21252 |  -23924.96875 |      48.04189 |       0.77592 |      23.76529 |   45268.29688 |       7.45020 | 
   3461.62915 |       0.40201 |       0.40201 |       0.00000 |      12.34406 |      12.34406 |       3.28333 |     101.08231 |      99.07310 |     104.18288 |     104.17486 |     116.32346 |     119.89152 |     119.89151 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00029 |      -0.01168 |       0.00424 |      -0.99742 |      -0.29171 |     116.21277 |     117.04037 |      -1.70764 |      -0.08973 |     116.29391 |       0.71055 |       0.33655 |   -2634.68555 |     990.25140 |  -23923.77539 |      48.03450 |       0.77372 |      23.76239 |   45277.13672 |       7.45166 | 
   3461.75781 |       0.45226 |       0.45226 |       0.00000 |      12.34407 |      12.34407 |       3.28334 |     101.09237 |      99.05827 |     104.16746 |     104.15952 |     116.33502 |     119.87377 |     119.87380 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00018 |      -0.01128 |       0.00433 |      -0.99792 |      -0.32470 |     116.22521 |     117.05280 |      -1.70607 |      -0.07883 |     116.29447 |       0.70847 |       0.33688 |   -2632.27197 |     990.29022 |  -23922.58008 |      48.02721 |       0.77164 |      23.75934 |   45285.97266 |       7.45311 | 
   3461.91479 |       0.50251 |       0.50251 |       0.00000 |      12.34408 |      12.34408 |       3.28336 |     101.08087 |      99.04353 |     104.15212 |     104.14420 |     116.32179 |     119.85612 |     119.85612 |       0.00392 |      -0.00392 |      -0.00392 |      -0.00010 |      -0.01088 |       0.00436 |      -0.99817 |      -0.35653 |     116.23776 |     117.06533 |      -1.70443 |      -0.06759 |     116.29485 |       0.70655 |       0.33753 |   -2629.85889 |     990.32892 |  -23921.38672 |      48.02001 |       0.76971 |      23.75615 |   45294.80469 |       7.45457 | 
