  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
   1870.77783 |      86.33166 |      86.33166 |       0.00000 |      12.34396 |      12.34396 |       3.23784 |      99.46680 |      99.17705 |     104.29099 |     104.28266 |     114.46435 |     120.01593 |     120.01592 |       0.00068 |      -0.00069 |      -0.00069 |       0.00033 |      -0.01152 |       0.00197 |      -0.97898 |      -0.03440 |     116.14133 |     116.96903 |      -1.70293 |      -0.14402 |     116.28444 |       0.72394 |       0.36305 |   -2651.59082 |     989.97681 |  -23932.13672 |      48.08805 |       0.78719 |      23.77915 |   15678.56348 |       2.58036 | 
   1870.89661 |      86.38191 |      86.38191 |       0.00000 |      12.34397 |      12.34397 |       3.23785 |      99.45096 |      99.16158 |     104.27488 |     104.26655 |     114.44612 |     119.99740 |     119.99740 |       0.00068 |      -0.00069 |      -0.00069 |       0.00030 |      -0.01142 |       0.00221 |      -0.97806 |      -0.06746 |     116.14757 |     116.97525 |      -1.70247 |      -0.14122 |     116.28689 |       0.72448 |       0.36150 |   -2649.17456 |     990.01636 |  -23930.94141 |      48.07962 |       0.78756 |      23.77749 |   15687.40625 |       2.58182 | 
   1871.01318 |      86.43216 |      86.43216 |       0.00000 |      12.34398 |      12.34398 |       3.23786 |      99.43513 |      99.14613 |     104.25882 |     104.25047 |     114.42790 |     119.97891 |     119.97890 |       0.00068 |      -0.00069 |      -0.00069 |       0.00027 |      -0.01128 |       0.00243 |      -0.97723 |      -0.10016 |     116.15443 |     116.98210 |      -1.70202 |      -0.13750 |     116.28906 |       0.72492 |       0.36009 |   -2646.75879 |     990.05597 |  -23929.74609 |      48.07132 |       0.78784 |      23.77563 |   15696.24902 |       2.58327 | 
   1871.13403 |      86.48241 |      86.48241 |       0.00000 |      12.34400 |      12.34400 |       3.23788 |      99.41931 |      99.13075 |     104.24281 |     104.23446 |     114.40971 |     119.96049 |     119.96049 |       0.00068 |      -0.00069 |      -0.00069 |       0.00024 |      -0.01112 |       0.00263 |      -0.97647 |      -0.13242 |     116.16190 |     116.98955 |      -1.70155 |      -0.13293 |     116.29099 |       0.72528 |       0.35883 |   -2644.34351 |     990.09552 |  -23928.55273 |      48.06315 |       0.78803 |      23.77357 |   15705.08887 |       2.58473 | 
   1871.26294 |      86.53266 |      86.53266 |       0.00000 |      12.34401 |      12.34401 |       3.23789 |      99.40351 |      99.11540 |     104.22684 |     104.21849 |     114.39152 |     119.94212 |     119.94212 |       0.00068 |      -0.00069 |      -0.00069 |       0.00021 |      -0.01093 |       0.00280 |      -0.97580 |      -0.16416 |     116.16986 |     116.99750 |      -1.70108 |      -0.12757 |     116.29266 |       0.72554 |       0.35775 |   -2641.92871 |     990.13513 |  -23927.35742 |      48.05510 |       0.78814 |      23.77131 |   15713.92871 |       2.58618 | 
   1871.38538 |      86.58292 |      86.58292 |       0.00000 |      12.34403 |      12.34403 |       3.23791 |      99.38773 |      99.10009 |     104.21092 |     104.20256 |     114.37336 |     119.92380 |     119.92380 |       0.00068 |      -0.00069 |      -0.00069 |       0.00019 |      -0.01071 |       0.00295 |      -0.97519 |      -0.19530 |     116.17828 |     117.00591 |      -1.70060 |      -0.12155 |     116.29413 |       0.72571 |       0.35685 |   -2639.51416 |     990.17474 |  -23926.16406 |      48.04716 |       0.78816 |      23.76888 |   15722.76660 |       2.58763 | 
   1871.67920 |      86.63316 |      86.63316 |       0.00000 |      12.34404 |      12.34404 |       3.23792 |      99.37197 |      99.08483 |     104.19505 |     104.18670 |     114.35522 |     119.90553 |     119.90553 |       0.00068 |      -0.00069 |      -0.00069 |       0.00016 |      -0.01048 |       0.00307 |      -0.97464 |      -0.22579 |     116.18706 |     117.01467 |      -1.70010 |      -0.11489 |     116.29536 |       0.72580 |       0.35616 |   -2637.09985 |     990.21436 |  -23924.96875 |      48.03934 |       0.78810 |      23.76627 |   15731.60352 |       2.58909 | 
   1871.80676 |      86.68342 |      86.68342 |       0.00000 |      12.34406 |      12.34406 |       3.23793 |      99.35622 |      99.06963 |     104.17924 |     104.17088 |     114.33710 |     119.88734 |     119.88733 |       0.00068 |      -0.00069 |      -0.00069 |       0.00014 |      -0.01022 |       0.00315 |      -0.97415 |      -0.25556 |     116.19611 |     117.02371 |      -1.69959 |      -0.10777 |     116.29638 |       0.72580 |       0.35567 |   -2634.68628 |     990.25397 |  -23923.77539 |      48.03164 |       0.78797 |      23.76350 |   15740.43945 |       2.59054 | 
   1871.93604 |      86.73367 |      86.73367 |       0.00000 |      12.34407 |      12.34407 |       3.23795 |      99.34050 |      99.05447 |     104.16347 |     104.15511 |     114.31901 |     119.86919 |     119.86918 |       0.00068 |      -0.00069 |      -0.00069 |       0.00012 |      -0.00996 |       0.00321 |      -0.97373 |      -0.28457 |     116.20535 |     117.03293 |      -1.69907 |      -0.10021 |     116.29722 |       0.72572 |       0.35540 |   -2632.27271 |     990.29352 |  -23922.58008 |      48.02403 |       0.78775 |      23.76058 |   15749.27344 |       2.59200 | 
   1872.08459 |      86.78392 |      86.78392 |       0.00000 |      12.34408 |      12.34408 |       3.23796 |      99.32481 |      99.03934 |     104.14774 |     104.13939 |     114.30096 |     119.85108 |     119.85108 |       0.00068 |      -0.00069 |      -0.00069 |       0.00010 |      -0.00968 |       0.00324 |      -0.97335 |      -0.31280 |     116.21469 |     117.04226 |      -1.69854 |      -0.09236 |     116.29786 |       0.72556 |       0.35534 |   -2629.85986 |     990.33313 |  -23921.38672 |      48.01653 |       0.78746 |      23.75751 |   15758.10645 |       2.59345 | 
