  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
   2667.95288 |       0.05025 |       0.05025 |       0.00000 |      12.34396 |      12.34396 |       3.25179 |      99.45813 |      99.17653 |     104.29044 |     104.28211 |     114.45438 |     120.01530 |     120.01529 |       0.00392 |      -0.00392 |      -0.00392 |       0.00063 |      -0.01207 |       0.00153 |      -0.97828 |      -0.03583 |     116.14038 |     116.96808 |      -1.70211 |      -0.14568 |     116.28511 |       0.72382 |       0.34474 |   -2651.59082 |     989.97681 |  -23932.13672 |      48.08753 |       0.78708 |      23.77958 |   24417.81641 |       4.01866 | 
   2668.08276 |       0.10050 |       0.10050 |       0.00000 |      12.34397 |      12.34397 |       3.25181 |      99.43840 |      99.16064 |     104.27390 |     104.26556 |     114.43167 |     119.99627 |     119.99627 |       0.00392 |      -0.00392 |      -0.00392 |       0.00087 |      -0.01218 |       0.00133 |      -0.97593 |      -0.07088 |     116.14437 |     116.97205 |      -1.70023 |      -0.14585 |     116.28822 |       0.72438 |       0.34562 |   -2649.17480 |     990.01636 |  -23930.94141 |      48.07862 |       0.78746 |      23.77839 |   24426.65820 |       4.02011 | 
   2668.20483 |       0.15075 |       0.15075 |       0.00000 |      12.34398 |      12.34398 |       3.25182 |      99.41953 |      99.14485 |     104.25747 |     104.24914 |     114.40995 |     119.97736 |     119.97737 |       0.00392 |      -0.00392 |      -0.00392 |       0.00109 |      -0.01228 |       0.00116 |      -0.97290 |      -0.10624 |     116.14787 |     116.97553 |      -1.69783 |      -0.14616 |     116.29097 |       0.72510 |       0.34638 |   -2646.75903 |     990.05591 |  -23929.74609 |      48.06990 |       0.78799 |      23.77693 |   24435.50195 |       4.02157 | 
   2668.33032 |       0.20101 |       0.20101 |       0.00000 |      12.34400 |      12.34400 |       3.25184 |      99.40136 |      99.12917 |     104.24114 |     104.23277 |     114.38905 |     119.95857 |     119.95857 |       0.00392 |      -0.00392 |      -0.00392 |       0.00126 |      -0.01238 |       0.00101 |      -0.96934 |      -0.14188 |     116.15090 |     116.97855 |      -1.69513 |      -0.14658 |     116.29337 |       0.72605 |       0.34702 |   -2644.34375 |     990.09558 |  -23928.55273 |      48.06138 |       0.78875 |      23.77518 |   24444.34180 |       4.02302 | 
   2668.45386 |       0.25126 |       0.25126 |       0.00000 |      12.34401 |      12.34401 |       3.25185 |      99.38381 |      99.11353 |     104.22488 |     104.21648 |     114.36885 |     119.93985 |     119.93986 |       0.00392 |      -0.00392 |      -0.00392 |       0.00138 |      -0.01248 |       0.00088 |      -0.96541 |      -0.17778 |     116.15355 |     116.98119 |      -1.69235 |      -0.14701 |     116.29539 |       0.72728 |       0.34755 |   -2641.92896 |     990.13525 |  -23927.35742 |      48.05304 |       0.78976 |      23.77314 |   24453.18164 |       4.02448 | 
   2668.58032 |       0.30151 |       0.30151 |       0.00000 |      12.34403 |      12.34403 |       3.25186 |      99.36678 |      99.09795 |     104.20867 |     104.20025 |     114.34926 |     119.92120 |     119.92121 |       0.00392 |      -0.00392 |      -0.00392 |       0.00145 |      -0.01257 |       0.00077 |      -0.96125 |      -0.21394 |     116.15586 |     116.98349 |      -1.68962 |      -0.14742 |     116.29707 |       0.72880 |       0.34797 |   -2639.51440 |     990.17499 |  -23926.16211 |      48.04487 |       0.79104 |      23.77081 |   24462.01953 |       4.02593 | 
   2668.70874 |       0.35176 |       0.35176 |       0.00000 |      12.34404 |      12.34404 |       3.25188 |      99.35019 |      99.08242 |     104.19251 |     104.18405 |     114.33016 |     119.90261 |     119.90262 |       0.00392 |      -0.00392 |      -0.00392 |       0.00147 |      -0.01265 |       0.00068 |      -0.95700 |      -0.25035 |     116.15789 |     116.98550 |      -1.68705 |      -0.14773 |     116.29838 |       0.73058 |       0.34829 |   -2637.10059 |     990.21478 |  -23924.96875 |      48.03687 |       0.79256 |      23.76818 |   24470.85547 |       4.02738 | 
   2668.83984 |       0.40201 |       0.40201 |       0.00000 |      12.34406 |      12.34406 |       3.25189 |      99.33397 |      99.06693 |     104.17641 |     104.16788 |     114.31149 |     119.88407 |     119.88406 |       0.00392 |      -0.00392 |      -0.00392 |       0.00146 |      -0.01273 |       0.00061 |      -0.95274 |      -0.28697 |     116.15971 |     116.98730 |      -1.68471 |      -0.14794 |     116.29932 |       0.73259 |       0.34852 |   -2634.68677 |     990.25470 |  -23923.77344 |      48.02904 |       0.79430 |      23.76525 |   24479.69141 |       4.02884 | 
   2668.96875 |       0.45226 |       0.45226 |       0.00000 |      12.34407 |      12.34407 |       3.25191 |      99.31805 |      99.05146 |     104.16031 |     104.15175 |     114.29317 |     119.86555 |     119.86555 |       0.00392 |      -0.00392 |      -0.00392 |       0.00143 |      -0.01279 |       0.00055 |      -0.94856 |      -0.32379 |     116.16134 |     116.98892 |      -1.68264 |      -0.14796 |     116.29989 |       0.73479 |       0.34868 |   -2632.27368 |     990.29468 |  -23922.58008 |      48.02137 |       0.79621 |      23.76202 |   24488.52344 |       4.03029 | 
   2669.10010 |       0.50251 |       0.50251 |       0.00000 |      12.34408 |      12.34408 |       3.25192 |      99.30238 |      99.03602 |     104.14426 |     104.13564 |     114.27515 |     119.84708 |     119.84708 |       0.00392 |      -0.00392 |      -0.00392 |       0.00138 |      -0.01285 |       0.00050 |      -0.94451 |      -0.36077 |     116.16283 |     116.99040 |      -1.68084 |      -0.14776 |     116.30011 |       0.73713 |       0.34877 |   -2629.86084 |     990.33472 |  -23921.38672 |      48.01387 |       0.79826 |      23.75849 |   24497.35742 |       4.03175 | 
